distance,theta,velocity
336,28.279704041474304,581.4681077440734
337,28.21439318660815,582.7031186669029
338,28.149358676668058,583.938883520648
339,28.08459892795942,585.1753975288876
340,28.020112367332956,586.4126559526037
341,27.955897432115485,587.6506540898482
342,27.891952570040868,588.8893872754124
343,27.828276239181285,590.1288508805
344,27.764866907878726,591.3690403124031
345,27.70172305467677,592.6099510141814
346,27.63884316825269,593.8515784643439
347,27.576225747349753,595.0939181765343
348,27.51386930070989,596.3369656992187
349,27.451772347006607,597.5807166153767
350,27.38993341477821,598.825166542195
351,27.32835104236133,600.0703111307645
352,27.26702377782474,601.3161460657797
353,27.205950178903493,602.5626670652407
354,27.145128812933354,603.8098698801591
355,27.084558256785535,605.0577502942656
356,27.024237096801794,606.3063041237205
357,26.96416392872977,607.5555272168277
358,26.90433735765874,608.8054154537509
359,26.844755997955577,610.0559647462317
360,26.785418473201155,611.3071710373118
